"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"USCR","U S Concrete, Inc.","34.7","$583.67M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/uscr",
"PRTS","U.S. Auto Parts Network, Inc.","1.04","$36.39M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/prts",
"USB","U.S. Bancorp","46.83","$75.68B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/usb",
"USB^A","U.S. Bancorp","775","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/usb^a",
"USB^H","U.S. Bancorp","19.27","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usb^h",
"USB^M","U.S. Bancorp","26.99","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usb^m",
"USB^O","U.S. Bancorp","23.73","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usb^o",
"USB^P","U.S. Bancorp","24.96","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usb^p",
"USEG","U.S. Energy Corp.","0.78","$10.5M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/useg",
"GROW","U.S. Global Investors, Inc.","1.24","$18.78M","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/grow",
"USAU","U.S. Gold Corp.","0.972","$17.66M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usau",
"USPH","U.S. Physical Therapy, Inc.","103.46","$1.31B","1992","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/usph",
"SLCA","U.S. Silica Holdings, Inc.","11.78","$913.08M","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/slca",
"USWS","U.S. Well Services, Inc.","6.79","$438.81M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/usws",
"USWSW","U.S. Well Services, Inc.","0.6","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/uswsw",
"USX","U.S. Xpress Enterprises, Inc.","5.9","$284.96M","2018","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/usx",
"UBNT","Ubiquiti Networks, Inc.","99.94","$7.08B","2011","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/ubnt",
"UBS","UBS AG","12.84","$47.85B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ubs",
"UDR","UDR, Inc.","38.52","$10.61B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/udr",
"UFPT","UFP Technologies, Inc.","31.52","$232.4M","1993","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/ufpt",
"UGI","UGI Corporation","54.06","$9.4B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/ugi",
"ULTA","Ulta Beauty, Inc.","255.03","$15.13B","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/ulta",
"UCTT","Ultra Clean Holdings, Inc.","9","$351.13M","2004","Technology","Semiconductors","https://www.nasdaq.com/symbol/uctt",
"UPL","Ultra Petroleum Corp.","0.895","$176.36M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/upl",
