"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ETFC","E*TRADE Financial Corporation","45.28","$11.51B","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/etfc",
"DD^A","E.I. du Pont de Nemours and Company","78.29","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","97.8263","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dd^b",
"ELF","e.l.f. Beauty, Inc.","9.34","$450.7M","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/elf",
"SSP","E.W. Scripps Company (The)","16.76","$1.35B","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/ssp",
"EBMT","Eagle Bancorp Montana, Inc.","16.46","$90.16M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","49.8","$1.71B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","4.92","$357.16M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/egle",
"GRF","Eagle Capital Growth Fund, Inc.","7.29","$27.18M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/grf",
"EFBI","Eagle Financial Bancorp, Inc.","15.0701","$24.5M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/efbi",
"EGIF","Eagle Growth and Income Opportunities Fund","13.1101","$94.14M","2015","n/a","n/a","https://www.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","64.07","$3B","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/exp",
"EGRX","Eagle Pharmaceuticals, Inc.","41.19","$614.27M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/egrx",
"ECC           ","Eagle Point Credit Company Inc.","15.11","$349.31M","2014","n/a","n/a","https://www.nasdaq.com/symbol/ecc",
"ECCA","Eagle Point Credit Company Inc.","25.37","n/a","2015","n/a","n/a","https://www.nasdaq.com/symbol/ecca",
"ECCB","Eagle Point Credit Company Inc.","25.51","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/eccb",
"ECCX","Eagle Point Credit Company Inc.","24.25","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/eccx",
"ECCY","Eagle Point Credit Company Inc.","24.7355","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/eccy",
"ESTE","Earthstone Energy, Inc.","5.22","$334.66M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/este",
"EWBC","East West Bancorp, Inc.","45.85","$6.65B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ewbc",
"DEA","Easterly Government Properties, Inc.","15.94","$969.45M","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dea",
"EML","Eastern Company (The)","25.34","$158.57M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/eml",
"EGP","EastGroup Properties, Inc.","90.6","$3.27B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","74.83","$10.48B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/emn",
"KODK","Eastman Kodak Company","2.72","$116.22M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kodk",
"EAST","Eastside Distilling, Inc.","6.41","$46.88M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/east",
"ETN","Eaton Corporation, PLC","68.53","$29.7B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/etn",
"EVM","Eaton Vance California Municipal Bond Fund","10.09","$215.87M","2002","n/a","n/a","https://www.nasdaq.com/symbol/evm",
"CEV","Eaton Vance California Municipal Income Trust","11.33","$80.82M","1999","n/a","n/a","https://www.nasdaq.com/symbol/cev",
"ETV","Eaton Vance Corporation","13.71","$1.07B","2005","n/a","n/a","https://www.nasdaq.com/symbol/etv",
"ETW","Eaton Vance Corporation","9.44","$1.01B","2005","n/a","n/a","https://www.nasdaq.com/symbol/etw",
"EV","Eaton Vance Corporation","35.29","$4.13B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ev",
