"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DHI","D.R. Horton, Inc.","36.75","$13.73B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/dhi",
"DJCO","Daily Journal Corp. (S.C.)","230.98","$318.92M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","7.63","$342.29M","1994","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dakt",
"DAN","Dana Incorporated","14.83","$2.15B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","100.45","$70.41B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dhr",
"DAC","Danaos Corporation","0.9088","$193.87M","2006","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","24.74","$318.25M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","101.4","$12.58B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dri",
"DARE","Dare Bioscience, Inc.","0.77","$8.8M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","0.8461","$30.93M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.04","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/driow",
"DAR","Darling Ingredients Inc.","19.69","$3.24B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/dar",
"DZSI","DASAN Zhone Solutions, Inc.","13.26","$219.79M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","3.93","$253.3M","2015","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.1801","n/a","2015","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","5.24","$44.23M","1981","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/daio",
"DTSS","Datasea Inc.","3.5999","$69.32M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtss",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","45.28","$1.75B","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","1.19","$30.95M","2015","Consumer Non-Durables","Food Chains","https://www.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","21.02","$139.78M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","15.4724","$68.08M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dint",
"DUSA","Davis Select U.S. Equity ETF","20.52","$130.3M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","20.17","$204.73M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwld",
"DVA","DaVita Inc.","54","$8.96B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/dva",
"DWSN","Dawson Geophysical Company","3.64","$83.51M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dwsn",
"DXR","Daxor Corporation","11.25","$41.95M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/dxr",
"DBVT","DBV Technologies S.A.","7.75","$466.79M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/dbvt",
"DCP","DCP Midstream LP","28.57","$4.09B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/dcp",
"DCP^B","DCP Midstream LP","22.21","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dcp^b",
"DCP^C","DCP Midstream LP","22.39","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dcp^c",
"DDMX","DD3 Acquisition Corp.","9.8","$71.24M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmx",
"DDMXU","DD3 Acquisition Corp.","9.98","$72.55M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmxu",
