"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"QTWO","Q2 Holdings, Inc.","48.96","$2.12B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qtwo",
"QADA","QAD Inc.","40.32","$791.35M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","30.25","$593.71M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qadb",
"QCRH","QCR Holdings, Inc.","33.47","$524.6M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/qcrh",
"QEP","QEP Resources, Inc.","6.08","$1.44B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/qep",
"QGEN","Qiagen N.V.","34.84","$7.88B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/qgen",
"QIWI","QIWI plc","14.21","$866.73M","2013","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/qiwi",
"QRVO","Qorvo, Inc.","59.37","$7.42B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/qrvo",
"QTS","QTS Realty Trust, Inc.","36.51","$1.87B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/qts",
"QTS^A","QTS Realty Trust, Inc.","24.68","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qts^a",
"QTS^B","QTS Realty Trust, Inc.","93.99","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qts^b",
"QUAD","Quad Graphics, Inc","13.03","$673.29M","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/quad",
"KWR","Quaker Chemical Corporation","177.52","$2.37B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kwr",
"QCOM","QUALCOMM Incorporated","56.6","$68.61B","1991","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/qcom",
"QBAK","Qualstar Corporation","5.75","$11.78M","2000","Technology","Electronic Components","https://www.nasdaq.com/symbol/qbak",
"QLYS","Qualys, Inc.","74.32","$2.93B","2012","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qlys",
"NX","Quanex Building Products Corporation","14.63","$490.12M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/nx",
"PWR","Quanta Services, Inc.","31.17","$4.55B","n/a","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/pwr",
"QTNA","Quantenna Communications, Inc.","14.28","$534M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/qtna",
"QTRX","Quanterix Corporation","17.87","$396.67M","2017","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/qtrx",
"QTM","Quantum Corporation","1.72","$61.15M","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/qtm",
"QTRH","Quarterhill Inc.","1.1","$130.7M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/qtrh",
"QD","Qudian Inc.","4.77","$1.55B","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qd",
"DGX","Quest Diagnostics Incorporated","82.71","$11.25B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/dgx",
"QRHC","Quest Resource Holding Corporation.","1.55","$23.74M","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/qrhc",
"QUIK","QuickLogic Corporation","0.9123","$86.84M","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/quik",
"QDEL","Quidel Corporation","49.62","$1.95B","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/qdel",
"QNST","QuinStreet, Inc.","16.23","$799.98M","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/qnst",
"QES","Quintana Energy Services Inc.","4.03","$135.35M","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/qes",
"QUMU","Qumu Corporation","2.1","$20.01M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qumu",
"QHC","Quorum Health Corporation","3.11","$98.05M","2016","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/qhc",
"QTNT","Quotient Limited","6.3","$409.17M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/qtnt",
"QUOT","Quotient Technology Inc.","10.78","$1.03B","2014","Consumer Services","Advertising","https://www.nasdaq.com/symbol/quot",
"QRTEA","Qurate Retail, Inc.","19.88","$8.93B","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/qrtea",
"QRTEB","Qurate Retail, Inc.","18.47","$8.3B","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/qrteb",
"QTT","Qutoutiao Inc.","7.4","$2.1B","2018","n/a","n/a","https://www.nasdaq.com/symbol/qtt",
"QVCD","QVC, Inc.","22.41","n/a","2018","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/qvcd",
"CTAA","Qwest Corporation","23.08","n/a","2016","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctaa",
"CTBB","Qwest Corporation","20.05","n/a","2016","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctbb",
"CTDD","Qwest Corporation","20.75","n/a","2017","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctdd",
"CTV","Qwest Corporation","21.9","n/a","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctv",
"CTY","Qwest Corporation","19.4","n/a","2013","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cty",
"CTZ","Qwest Corporation","20.55","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctz",
