"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OIIM","O2Micro International Limited","1.54","$40.1M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/oiim",
"OVLY","Oak Valley Bancorp (CA)","19.13","$156.74M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ovly",
"OAK","Oaktree Capital Group, LLC","40.57","$6.38B","2012","Finance","Investment Managers","https://www.nasdaq.com/symbol/oak",
"OAK^A","Oaktree Capital Group, LLC","23.65","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oak^a",
"OAK^B","Oaktree Capital Group, LLC","23.2253","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oak^b",
"OCSL","Oaktree Specialty Lending Corporation","4.42","$623.05M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsl",
"OCSLL","Oaktree Specialty Lending Corporation","23.7499","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsll",
"OSLE","Oaktree Specialty Lending Corporation","25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/osle",
"OCSI","Oaktree Strategic Income Corporation","7.95","$234.26M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsi",
"OMP","Oasis Midstream Partners LP","18.1","$611.4M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/omp",
"OAS","Oasis Petroleum Inc.","6.04","$1.92B","2010","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oas",
"OASM","Oasmia Pharmaceutical AB","3.28","$219.24M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/oasm",
"OBLN","Obalon Therapeutics, Inc.","1.9","$44.24M","2016","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/obln",
"OBSV","ObsEva SA","13.85","$600.29M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/obsv",
"OBE","Obsidian Energy Ltd.","0.5006","$253.95M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/obe",
"OXY","Occidental Petroleum Corporation","63.21","$47.73B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oxy",
"OBCI","Ocean Bio-Chem, Inc.","3.299","$30.81M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/obci",
